Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/document/upload/ (公共批量小文件),15542,0,39,45.39652364624237,23.332971999479923,1348.1699930016475,25.0,77.39882584916148,0.0,39,46,52,56,68,79,99,110,270,1300,1300
POST,[准备] L0 创建文件夹 bulk_L0_15820924,1,0,32.08435700071277,32.08435700071277,32.08435700071277,32.08435700071277,51.0,0.004979978500139074,0.0,32,32,32,32,32,32,32,32,32,32,32
POST,[准备] L0 创建文件夹 bulk_L0_1661e722,1,0,20.13460899979691,20.13460899979691,20.13460899979691,20.13460899979691,51.0,0.004979978500139074,0.0,20,20,20,20,20,20,20,20,20,20,20
POST,[准备] L0 创建文件夹 bulk_L0_195affe0,1,0,25.982954000937752,25.982954000937752,25.982954000937752,25.982954000937752,51.0,0.004979978500139074,0.0,26,26,26,26,26,26,26,26,26,26,26
POST,[准备] L0 创建文件夹 bulk_L0_21f4eb2f,1,0,18.723520999628818,18.723520999628818,18.723520999628818,18.723520999628818,51.0,0.004979978500139074,0.0,19,19,19,19,19,19,19,19,19,19,19
POST,[准备] L0 创建文件夹 bulk_L0_34d7e44e,1,0,19.877387003361946,19.877387003361946,19.877387003361946,19.877387003361946,51.0,0.004979978500139074,0.0,20,20,20,20,20,20,20,20,20,20,20
POST,[准备] L0 创建文件夹 bulk_L0_38f19fee,1,0,22.015570000803564,22.015570000803564,22.015570000803564,22.015570000803564,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L0 创建文件夹 bulk_L0_50df06bb,1,0,24.8058930010302,24.8058930010302,24.8058930010302,24.8058930010302,51.0,0.004979978500139074,0.0,25,25,25,25,25,25,25,25,25,25,25
POST,[准备] L0 创建文件夹 bulk_L0_5fa1762b,1,0,17.73711400164757,17.73711400164757,17.73711400164757,17.73711400164757,51.0,0.004979978500139074,0.0,18,18,18,18,18,18,18,18,18,18,18
POST,[准备] L0 创建文件夹 bulk_L0_67e68f6f,1,0,18.031400999461766,18.031400999461766,18.031400999461766,18.031400999461766,51.0,0.004979978500139074,0.0,18,18,18,18,18,18,18,18,18,18,18
POST,[准备] L0 创建文件夹 bulk_L0_6bbc8cf8,1,0,25.129842000751523,25.129842000751523,25.129842000751523,25.129842000751523,51.0,0.004979978500139074,0.0,25,25,25,25,25,25,25,25,25,25,25
POST,[准备] L0 创建文件夹 bulk_L0_72e9f718,1,0,18.181177001679316,18.181177001679316,18.181177001679316,18.181177001679316,51.0,0.004979978500139074,0.0,18,18,18,18,18,18,18,18,18,18,18
POST,[准备] L0 创建文件夹 bulk_L0_73b25c16,1,0,27.92556200074614,27.92556200074614,27.92556200074614,27.92556200074614,51.0,0.004979978500139074,0.0,28,28,28,28,28,28,28,28,28,28,28
POST,[准备] L0 创建文件夹 bulk_L0_77384c6d,1,0,20.928365000145277,20.928365000145277,20.928365000145277,20.928365000145277,51.0,0.004979978500139074,0.0,21,21,21,21,21,21,21,21,21,21,21
POST,[准备] L0 创建文件夹 bulk_L0_7b431fe5,1,0,27.02900700023747,27.02900700023747,27.02900700023747,27.02900700023747,51.0,0.004979978500139074,0.0,27,27,27,27,27,27,27,27,27,27,27
POST,[准备] L0 创建文件夹 bulk_L0_a208a519,1,0,19.864871002937434,19.864871002937434,19.864871002937434,19.864871002937434,51.0,0.004979978500139074,0.0,20,20,20,20,20,20,20,20,20,20,20
POST,[准备] L0 创建文件夹 bulk_L0_a3b1e6c7,1,0,21.45378700151923,21.45378700151923,21.45378700151923,21.45378700151923,51.0,0.004979978500139074,0.0,21,21,21,21,21,21,21,21,21,21,21
POST,[准备] L0 创建文件夹 bulk_L0_b4e522e2,1,0,21.08382000005804,21.08382000005804,21.08382000005804,21.08382000005804,51.0,0.004979978500139074,0.0,21,21,21,21,21,21,21,21,21,21,21
POST,[准备] L0 创建文件夹 bulk_L0_b5139a8f,1,0,23.630382998817367,23.630382998817367,23.630382998817367,23.630382998817367,51.0,0.004979978500139074,0.0,24,24,24,24,24,24,24,24,24,24,24
