Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[上传] 普通文件上传,384,0,24,27.68331636456504,18.88907000011386,496.7947360000835,25.0,1.2842116988304828,0.0,24,25,26,27,31,36,46,57,500,500,500
GET,[公共] DB连接池,99,0,13,13.768214232305866,10.865273000035813,26.998710000043502,434.80808080808083,0.33108582860473385,0.0,13,14,14,15,15,16,25,27,27,27,27
GET,[公共] 传输列表,267,0,12,12.91226755803562,10.398525000255177,25.454931999775,25.0,0.89292844684307,0.0,12,13,13,13,15,18,21,25,25,25,25
POST,[公共] 创建子文件夹,137,0,20,21.05712799268249,17.103101999964565,133.13285699996413,52.0,0.45816927796816703,0.0,20,21,21,21,23,26,36,37,130,130,130
DELETE,[公共] 删除文件,97,0,19,20.18498607214928,15.808520000064163,33.47740600020188,25.0,0.32439722600665843,0.0,19,21,21,22,24,25,30,33,33,33,33
GET,[公共] 查询文件夹,292,0,28,28.372348030817903,21.05673999994906,64.11688600019261,6230.619863013699,0.9765359793190129,0.0,28,29,29,30,32,34,40,44,64,64,64
GET,[公共] 磁盘使用,141,0,15,15.411564517736798,12.625393000234908,33.40315000014016,186.84397163120568,0.4715464831643179,0.0,15,15,16,16,17,18,21,23,33,33,33
POST,[准备] 创建根文件夹,20,0,28,33.17951565002204,18.428128999858018,70.57428400003118,51.5,0.06688602598075431,0.0,29,35,36,53,56,71,71,71,71,71,71
POST,[准备] 登录,5,0,330,301.1553648001609,171.06776900027398,341.77705299998706,3797.0,0.016721506495188578,0.0,330,330,330,340,340,340,340,340,340,340,340
POST,[分片] 上传分片 1/3,393,0,30,34.615375027988655,25.904465000166965,363.7165649997769,171.0,1.3143104105218222,0.0,30,32,33,34,41,54,72,83,360,360,360
POST,[分片] 上传分片 2/3,393,0,29,30.60245071502848,25.00447400007033,71.68570099975113,171.0,1.3143104105218222,0.0,29,30,31,32,36,43,47,50,72,72,72
POST,[分片] 上传分片 3/3,393,0,29,31.040987597973196,25.08549000003768,76.82694999994055,171.0,1.3143104105218222,0.0,29,31,32,33,36,43,49,61,77,77,77
POST,[合并] 提交合并任务,393,0,24,26.217891274814008,19.33086100007131,52.363880000029894,216.0,1.3143104105218222,0.0,24,26,27,28,34,40,44,48,52,52,52
GET,[查询] 根文件夹内容,193,0,26,28.371238124380426,20.303374000377516,175.38636700010102,6271.269430051813,0.6454501507142791,0.0,26,28,29,30,32,35,46,74,180,180,180
GET,[私有] DB连接池,95,0,13,14.055678757913961,10.381391000009899,30.61078200016709,434.8315789473684,0.31770862340858297,0.0,13,14,14,15,15,18,25,31,31,31,31
GET,[私有] 传输列表,280,0,12,12.923163467850632,9.81785400017543,30.555019000075845,25.0,0.9364043637305604,0.0,12,13,13,14,15,17,21,23,31,31,31
POST,[私有] 创建子文件夹,168,0,24,25.833914648826198,19.046531999720173,163.37879899992913,51.99404761904762,0.5618426182383363,0.0,24,25,26,27,29,31,38,41,160,160,160
DELETE,[私有] 删除文件,87,0,20,20.619747034476767,16.901483999845368,35.754425000050105,25.0,0.29095421301628127,0.0,20,21,22,22,23,24,34,36,36,36,36
GET,[私有] 查询文件夹,313,0,25,25.842785651753037,20.29201400000602,70.75859099995796,6822.319488817891,1.0467663065988049,0.0,25,26,26,27,30,34,39,43,71,71,71
GET,[私有] 磁盘使用,163,0,20,21.47429730673747,16.97008300016023,200.2193299999817,195.78527607361963,0.5451211117431476,0.0,20,20,21,21,23,28,31,41,200,200,200
,Aggregated,4313,0,25,25.318062328309654,9.81785400017543,496.7947360000835,1311.8342221191747,14.423971502749668,0.0,25,28,29,30,32,37,46,55,340,500,500
