Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784606735,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784606736,5,,Aggregated,0.000000,0.000000,29,170,330,330,340,500,500,500,500,500,500,15,0,29,148.31578913332729,15.275422999820876,496.7947360000835,1335.5333333333333
1784606737,10,,Aggregated,0.000000,0.000000,31,34,36,43,330,340,500,500,500,500,500,33,0,31,84.56038300003208,15.275422999820876,496.7947360000835,690.7878787878788
1784606738,15,,Aggregated,14.000000,0.000000,34,41,49,55,330,340,360,500,500,500,500,56,0,33,73.14130823216861,15.275422999820876,496.7947360000835,456.1607142857143
1784606739,20,,Aggregated,16.500000,0.000000,33,42,46,52,83,330,360,500,500,500,500,81,0,33,60.86157887656229,12.731370999972569,496.7947360000835,363.08641975308643
1784606740,20,,Aggregated,18.333333,0.000000,31,36,45,46,71,330,360,500,500,500,500,98,0,31,54.53549910205357,12.731370999972569,496.7947360000835,335.0816326530612
1784606741,20,,Aggregated,19.250000,0.000000,30,35,43,46,68,330,340,360,500,500,500,105,0,30,52.417534276204,12.731370999972569,496.7947360000835,331.06666666666666
1784606742,20,,Aggregated,18.800000,0.000000,30,34,41,45,56,170,340,360,500,500,500,126,0,29,48.58736763493552,12.21368199958306,496.7947360000835,308.8095238095238
1784606743,20,,Aggregated,17.000000,0.000000,29,33,36,43,55,170,340,360,500,500,500,137,0,29,46.5536602554872,12.133965999964857,496.7947360000835,296.3941605839416
1784606744,20,,Aggregated,17.142857,0.000000,29,32,35,42,54,85,340,360,500,500,500,149,0,29,44.903913228199904,12.133965999964857,496.7947360000835,287.06040268456377
1784606745,20,,Aggregated,16.625000,0.000000,29,31,34,37,52,83,330,360,500,500,500,168,0,29,42.56103108930293,12.133965999964857,496.7947360000835,272.5416666666667
1784606746,20,,Aggregated,15.666667,0.000000,28,30,33,36,49,71,330,360,500,500,500,183,0,28,40.709982311492226,11.32034099964585,496.7947360000835,264.21857923497265
1784606747,20,,Aggregated,15.900000,0.000000,28,30,33,34,46,68,330,340,500,500,500,201,0,28,39.409358810958814,11.32034099964585,496.7947360000835,256.8955223880597
1784606748,20,,Aggregated,16.300000,0.000000,28,30,31,34,46,68,330,340,500,500,500,218,0,28,38.32831054130294,11.32034099964585,496.7947360000835,254.05963302752295
1784606749,20,,Aggregated,15.900000,0.000000,28,30,31,33,46,64,330,340,500,500,500,228,0,28,37.607511938613484,11.32034099964585,496.7947360000835,256.3377192982456
1784606750,20,,Aggregated,15.600000,0.000000,28,30,31,33,46,56,330,340,500,500,500,243,0,28,36.894598230472916,11.32034099964585,496.7947360000835,251.75720164609052
1784606751,20,,Aggregated,14.800000,0.000000,27,29,31,33,45,56,330,340,500,500,500,258,0,27,36.10933402714809,11.32034099964585,496.7947360000835,248.49612403100775
1784606752,20,,Aggregated,14.100000,0.000000,28,30,31,33,46,55,330,340,500,500,500,276,0,27,35.86744355074307,11.32034099964585,496.7947360000835,246.64492753623188
1784606753,20,,Aggregated,15.000000,0.000000,27,29,31,33,45,55,330,340,500,500,500,298,0,27,35.13479373827214,11.32034099964585,496.7947360000835,241.39597315436242
