module,url,http_method,view_class,auth_type,permission_code,tenant_filter,pagination,attachment,audit,idempotency,frontend_caller,existing_tests,risk_notes
account,/api/account/user/,GET,UserView,AdminView+PERM_MAP,system.account.view,apply_tenant_filter,yes,no,no,no,pages/system/User.js,test_account.py,
account,/api/account/user/,POST,UserView,AdminView+PERM_MAP,system.account.add,N/A,no,no,record_audit_event,no,pages/system/User.js,test_account.py,
account,/api/account/user/<id>/,PATCH,UserView,AdminView+PERM_MAP,system.account.edit,N/A,no,no,record_audit_event,no,pages/system/User.js,test_account.py,
account,/api/account/user/<id>/,DELETE,UserView,AdminView+PERM_MAP,system.account.del,N/A,no,no,record_audit_event,no,pages/system/User.js,test_account.py,soft_delete
account,/api/account/role/,GET,RoleView,AdminView+PERM_MAP,system.role.view,N/A,yes,no,no,no,pages/system/Role.js,test_role.py,
account,/api/account/role/,POST,RoleView,AdminView+PERM_MAP,system.role.add,N/A,no,no,record_audit_event,no,pages/system/Role.js,test_role.py,
account,/api/account/role/<id>/,PATCH,RoleView,AdminView+PERM_MAP,system.role.edit,N/A,no,no,record_audit_event,no,pages/system/Role.js,test_role.py,
account,/api/account/role/<id>/,DELETE,RoleView,AdminView+PERM_MAP,system.role.del,N/A,no,no,record_audit_event,no,pages/system/Role.js,test_role.py,soft_delete
account,/api/account/dept/,GET,DeptView,AdminView+PERM_MAP,system.dept.view,apply_tenant_filter,yes,no,no,no,pages/system/Dept.js,test_dept.py,
account,/api/account/dept/,POST,DeptView,AdminView+PERM_MAP,system.dept.add,N/A,no,no,record_audit_event,no,pages/system/Dept.js,test_dept.py,
account,/api/account/dept/<id>/,DELETE,DeptView,AdminView+PERM_MAP,system.dept.del,N/A,no,no,record_audit_event,no,pages/system/Dept.js,test_dept.py,soft_delete
account,/api/account/tenant/,GET,TenantView,AdminView+PERM_MAP,system.tenant.view,N/A,yes,no,no,no,pages/system/Tenant.js,test_tenant.py,GLOBAL
account,/api/account/tenant/,POST,TenantView,AdminView+PERM_MAP,system.tenant.add,N/A,no,no,record_audit_event,no,pages/system/Tenant.js,test_tenant.py,
account,/api/account/token/,POST,TokenView,登录认证,N/A,N/A,no,no,no,no,libs/http.js,test_token.py,
account,/api/account/login/,POST,LoginView,登录认证,N/A,N/A,no,no,no,no,Login.js,test_login.py,
account,/api/account/login/sms/,POST,SmsLoginView,登录认证,N/A,N/A,no,no,no,no,Login.js,test_sms.py,
account,/api/account/self/,GET|PATCH,SelfView,登录认证,N/A,N/A,no,no,no,no,Welcome.js,test_self.py,
alert,/api/alert/rules/,GET,AlertRuleView,AdminView+PERM_MAP,system.alert.view,N/A,yes,no,no,no,pages/maintenance/AlertRule.js,test_alert.py,GLOBAL
alert,/api/alert/rules/,POST,AlertRuleView,AdminView+PERM_MAP,system.alert.add,N/A,no,no,no,no,pages/maintenance/AlertRule.js,test_alert.py,
alert,/api/alert/rules/<id>/,PATCH|DELETE,AlertRuleView,AdminView+PERM_MAP,system.alert.edit|del,N/A,no,no,no,no,pages/maintenance/AlertRule.js,test_alert.py,hard_delete
alert,/api/alert/records/,GET,AlertRecordView,AdminView+PERM_MAP,system.alert.view,N/A,yes,no,no,no,pages/maintenance/AlertRecord.js,test_alert.py,
alert,/api/alert/dashboard/,GET,AlertDashboardView,AdminView+PERM_MAP,system.alert.view,N/A,no,no,no,no,pages/maintenance/,未验证,无独立测试
contract_agreement,/api/contract-agreement/,GET,ContractAgreementView,@auth,contract_agreement.agreement.view,apply_tenant_filter,yes,no,no,check_recent_duplicate,pages/contractAgreement/,test_crud.py,
contract_agreement,/api/contract-agreement/,POST,ContractAgreementView,@auth,contract_agreement.agreement.add,apply_tenant_filter,no,yes,record_audit_event,check_recent_duplicate,pages/contractAgreement/,test_crud.py,
contract_agreement,/api/contract-agreement/<id>/,GET,ContractAgreementView,@auth,contract_agreement.agreement.view,apply_tenant_filter,no,no,no,no,pages/contractAgreement/,test_crud.py,
contract_agreement,/api/contract-agreement/<id>/,PATCH,ContractAgreementView,@auth,contract_agreement.agreement.edit,apply_tenant_filter,no,yes,record_audit_event,no,pages/contractAgreement/,test_crud.py,update_fields
contract_agreement,/api/contract-agreement/<id>/,DELETE,ContractAgreementView,@auth,contract_agreement.agreement.del,apply_tenant_filter,no,yes,record_audit_event,no,pages/contractAgreement/,test_soft_delete.py,soft_delete
contract_agreement,/api/contract-agreement/export/,GET,ExportView,@auth,contract_agreement.agreement.view,apply_tenant_filter,no,no,no,no,pages/contractAgreement/,test_export.py,
contract_agreement,/api/contract-agreement/import/,POST,ImportView,@auth,contract_agreement.agreement.add,apply_tenant_filter,no,no,record_audit_event,no,pages/contractAgreement/,test_import.py,
contract_agreement,/api/contract-agreement/scan/,POST,ScanAndAuditView,@auth,contract_agreement.agreement.add,apply_tenant_filter,no,no,record_audit_event,no,pages/contractAgreement/,test_scan_and_audit.py,
data_analysis,/api/data-analysis/overview/,GET,OverviewView,@auth,data_analysis.overview.view,N/A,no,no,no,no,pages/dataAnalysis/,test_api.py,Redis_60s
data_analysis,/api/data-analysis/fault/,GET,FaultAnalysisView,@auth,data_analysis.fault.view,N/A,no,no,no,no,pages/dataAnalysis/,test_api.py,
data_analysis,/api/data-analysis/interference/,GET,InterferenceAnalysisView,@auth,data_analysis.interference.view,N/A,no,no,no,no,pages/dataAnalysis/,test_api.py,
data_analysis,/api/data-analysis/license/,GET,LicenseAnalysisView,@auth,data_analysis.license.view,N/A,no,no,no,no,pages/dataAnalysis/,test_api.py,
data_analysis,/api/data-analysis/contract/,GET,ContractAnalysisView,@auth,data_analysis.contract.view,N/A,no,no,no,no,pages/dataAnalysis/,test_api.py,
department_duty_log,/api/department-duty-log/,GET,DepartmentDutyLogView,@auth,department_duty_log.view,apply_tenant_filter,yes,no,no,check_recent_duplicate,pages/departmentDutyLog/,test_list.py,
department_duty_log,/api/department-duty-log/,POST,DepartmentDutyLogView,@auth,department_duty_log.add,apply_tenant_filter,no,yes,record_audit_event,check_recent_duplicate,pages/departmentDutyLog/,test_full.py,
department_duty_log,/api/department-duty-log/<id>/,GET,DepartmentDutyLogView,@auth,department_duty_log.view,apply_tenant_filter,no,no,no,no,pages/departmentDutyLog/,test_list.py,
department_duty_log,/api/department-duty-log/<id>/,PATCH,DepartmentDutyLogView,@auth,department_duty_log.edit,apply_tenant_filter,no,yes,record_audit_event,no,pages/departmentDutyLog/,test_full.py,
department_duty_log,/api/department-duty-log/<id>/,DELETE,DepartmentDutyLogView,@auth,department_duty_log.del,apply_tenant_filter,no,yes,record_audit_event,no,pages/departmentDutyLog/,test_soft_delete.py,soft_delete
department_duty_log,/api/department-duty-log/sign/,POST,SignView,@auth,department_duty_log.sign,apply_tenant_filter,no,no,record_audit_event,check_recent_duplicate,pages/departmentDutyLog/,test_sign.py,
device,/api/device/resume/,GET,DeviceResumeView,@auth,device.device_resume.view,apply_tenant_filter,yes,no,no,no,pages/device/,test_crud.py,
device,/api/device/resume/,POST,DeviceResumeView,@auth,device.device_resume.add,apply_tenant_filter,no,no,record_audit_event,no,pages/device/,test_crud.py,未加dedup
device,/api/device/resume/<id>/,GET,DeviceResumeView,@auth,device.device_resume.view,apply_tenant_filter,no,no,no,no,pages/device/,test_crud.py,
device,/api/device/resume/<id>/,PATCH,DeviceResumeView,@auth,device.device_resume.edit,apply_tenant_filter,no,no,record_audit_event,no,pages/device/,test_crud.py,
device,/api/device/resume/<id>/,DELETE,DeviceResumeView,@auth,device.device_resume.del,apply_tenant_filter,no,no,record_audit_event,no,pages/device/,test_soft_delete.py,soft_delete
device,/api/device/history/,GET,DeviceHistoryView,@auth,device.device_history.view,apply_tenant_filter,yes,no,no,no,pages/device/,test_crud.py,
device,/api/device/history/,POST,DeviceHistoryView,@auth,device.device_history.add,apply_tenant_filter,no,no,record_audit_event,no,pages/device/,test_crud.py,未加dedup
device,/api/device/history/<id>/,PATCH,DeviceHistoryView,@auth,device.device_history.edit,apply_tenant_filter,no,no,record_audit_event,no,pages/device/,test_crud.py,
device,/api/device/history/<id>/,DELETE,DeviceHistoryView,@auth,device.device_history.del,apply_tenant_filter,no,no,record_audit_event,no,pages/device/,test_soft_delete.py,soft_delete
document,/api/document/files/private/,GET,DocumentFilePrivateView,@document_auth,document.document.view,apply_tenant_filter,yes,no,no,no,pages/document/,test_upload.py,
document,/api/document/files/private/,POST,DocumentFilePrivateView,@document_auth,document.document.add,apply_tenant_filter,no,yes,log_operation,no,pages/document/,test_upload.py,
document,/api/document/files/private/<id>/,GET,DocumentFilePrivateView,@document_auth,document.document.view,apply_tenant_filter,no,no,no,no,pages/document/,test_upload.py,
document,/api/document/files/private/<id>/,DELETE,DocumentFilePrivateView,@document_auth,document.document.del,apply_tenant_filter,no,yes,log_operation,no,pages/document/,test_upload.py,hard_delete+物理删除
document,/api/document/folders/private/,GET,DocumentFolderPrivateView,@document_auth,document.document.view,apply_tenant_filter,yes,no,no,no,pages/document/,test_folder.py,
document,/api/document/folders/private/,POST,DocumentFolderPrivateView,@document_auth,document.document.add,apply_tenant_filter,no,no,log_operation,no,pages/document/,test_folder.py,
document,/api/document/folders/private/<id>/,PATCH,DocumentFolderPrivateView,@document_auth,document.document.edit,apply_tenant_filter,no,no,log_operation,no,pages/document/,test_folder.py,
document,/api/document/folders/private/<id>/,DELETE,DocumentFolderPrivateView,@document_auth,document.document.del,apply_tenant_filter,no,no,log_operation,no,pages/document/,test_folder.py,soft_delete
document,/api/document/files/public/,GET,DocumentFilePublicView,@document_auth,document.document.view,check_public_space_permission,yes,no,no,no,pages/document/,test_upload.py,
document,/api/document/files/public/,POST,DocumentFilePublicView,@document_auth,document.document.add,check_public_space_permission,no,yes,log_operation,no,pages/document/,test_upload.py,
document,/api/document/files/public/<id>/,DELETE,DocumentFilePublicView,@document_auth,document.document.del,check_public_space_permission,no,yes,log_operation,no,pages/document/,test_upload.py,hard_delete
document,/api/document/upload/init/,POST,UploadInitView,@document_auth,document.document.add,apply_tenant_filter,no,no,no,no,pages/document/,test_chunk.js,
document,/api/document/upload/chunk/,POST,UploadChunkView,@document_auth,document.document.add,apply_tenant_filter,no,no,no,no,pages/document/,test_chunk.js,
document,/api/document/upload/merge/,POST,UploadMergeView,@document_auth,document.document.add,apply_tenant_filter,no,no,no,no,pages/document/,test_chunk.js,DirectMergeView已修复
document,/api/document/system-folders/,GET,SystemFolderView,@document_auth,document.party_building_document.view,system_scope_validators,yes,no,no,no,pages/PartyBuildingDocuments/,test_folder.py,党建隔离
duty,/api/duty/,GET,DutyRecordView,@auth,duty.duty.view,apply_tenant_filter,yes,no,no,no,pages/duty/,test_duty.py,
duty,/api/duty/,POST,DutyRecordView,@auth,duty.duty.add,apply_tenant_filter,no,no,record_audit_event,no,pages/duty/,test_duty.py,
duty,/api/duty/<id>/,GET,DutyRecordView,@auth,duty.duty.view,apply_tenant_filter,no,no,no,no,pages/duty/,test_duty.py,
duty,/api/duty/<id>/,PATCH,DutyRecordView,@auth,duty.duty.edit,apply_tenant_filter,no,no,record_audit_event,no,pages/duty/,test_duty.py,
duty,/api/duty/<id>/,DELETE,DutyRecordView,@auth,duty.duty.del,apply_tenant_filter,no,no,record_audit_event,no,pages/duty/,test_duty.py,soft_delete
evidence,/api/evidence/attachments/,GET,EvidenceAttachmentView,各模块权限,(各模块自带),apply_tenant_filter,yes,no,no,no,(内嵌多模块),test_attachment.py,无独立URL
evidence,/api/evidence/attachments/,POST,EvidenceAttachmentView,各模块权限,(各模块自带),apply_tenant_filter,no,yes,record_audit_event,no,(内嵌多模块),test_attachment.py,
evidence,/api/evidence/attachments/<id>/,DELETE,EvidenceAttachmentView,各模块权限,(各模块自带),apply_tenant_filter,no,yes,record_audit_event,no,(内嵌多模块),test_attachment.py,hard_delete
evidence,/api/evidence/preview/,GET,PreviewTokenView,登录,(各模块自带),N/A,no,no,no,no,(内嵌多模块),test_attachment.py,两套preview_token
fault,/api/fault/records/,GET,FaultRecordView,@auth,fault.faultrecord.view,apply_tenant_filter,yes,no,no,check_recent_duplicate,pages/exec/fault/,test_crud.py,
fault,/api/fault/records/,POST,FaultRecordView,@auth,fault.faultrecord.add,apply_tenant_filter,no,yes,record_audit_event,check_recent_duplicate,pages/exec/fault/,test_crud.py,
fault,/api/fault/records/<id>/,GET,FaultRecordView,@auth,fault.faultrecord.view,apply_tenant_filter,no,no,no,no,pages/exec/fault/,test_crud.py,
fault,/api/fault/records/<id>/,PATCH,FaultRecordView,@auth,fault.faultrecord.edit,apply_tenant_filter,no,yes,record_audit_event,no,pages/exec/fault/,test_crud.py,
fault,/api/fault/records/<id>/,DELETE,FaultRecordView,@auth,fault.faultrecord.del,apply_tenant_filter,no,yes,record_audit_event,no,pages/exec/fault/,test_soft_delete.py,soft_delete
fault,/api/fault/parts/,GET,FaultPartView,@auth,fault.faultpart.view,apply_tenant_filter,yes,no,no,no,pages/exec/fault/,test_parts.py,
fault,/api/fault/parts/,POST,FaultPartView,@auth,fault.faultpart.add,apply_tenant_filter,no,no,record_audit_event,no,pages/exec/fault/,test_parts.py,
fault,/api/fault/parts/<id>/,PATCH,FaultPartView,@auth,fault.faultpart.edit,apply_tenant_filter,no,no,record_audit_event,no,pages/exec/fault/,test_parts.py,
fault,/api/fault/parts/<id>/,DELETE,FaultPartView,@auth,fault.faultpart.del,apply_tenant_filter,no,no,record_audit_event,no,pages/exec/fault/,test_parts.py,soft_delete
home,/api/home/navigation/,GET,NavigationView,AdminView+PERM_MAP,home.navigation.view,N/A,yes,no,no,no,pages/home/,test_navigation.py,
home,/api/home/navigation/,POST,NavigationView,AdminView+PERM_MAP,home.navigation.add,N/A,no,no,record_audit_event,no,pages/home/,test_navigation_crud.py,22项修复
home,/api/home/navigation/<id>/,PATCH,NavigationView,AdminView+PERM_MAP,home.navigation.edit,N/A,no,no,record_audit_event,no,pages/home/,test_navigation_crud.py,
home,/api/home/navigation/<id>/,DELETE,NavigationView,AdminView+PERM_MAP,home.navigation.del,N/A,no,no,record_audit_event,no,pages/home/,test_navigation_crud.py,soft_delete
home,/api/home/notice/,GET,NoticeView,AdminView+PERM_MAP,home.announcement.view,N/A,yes,no,no,no,pages/home/,test_notice.py,
home,/api/home/notice/,POST,NoticeView,AdminView+PERM_MAP,home.announcement.add,N/A,no,no,record_audit_event,no,pages/home/,test_notice_crud.py,
home,/api/home/notice/<id>/,PATCH,NoticeView,AdminView+PERM_MAP,home.announcement.edit,N/A,no,no,record_audit_event,no,pages/home/,test_notice_crud.py,
home,/api/home/notice/<id>/,DELETE,NoticeView,AdminView+PERM_MAP,home.announcement.del,N/A,no,no,record_audit_event,no,pages/home/,test_notice_crud.py,soft_delete
interference,/api/interference/,GET,InterferenceRecordView,@auth,interference.view,apply_tenant_filter,yes,no,no,check_recent_duplicate,pages/interference/,test_crud.py,
interference,/api/interference/,POST,InterferenceRecordView,@auth,interference.add,apply_tenant_filter,no,yes,record_audit_event,check_recent_duplicate,pages/interference/,test_crud.py,
interference,/api/interference/<id>/,GET,InterferenceRecordView,@auth,interference.view,apply_tenant_filter,no,no,no,no,pages/interference/,test_crud.py,
interference,/api/interference/<id>/,PATCH,InterferenceRecordView,@auth,interference.edit,apply_tenant_filter,no,yes,record_audit_event,no,pages/interference/,test_crud.py,
interference,/api/interference/<id>/,DELETE,InterferenceRecordView,@auth,interference.del,apply_tenant_filter,no,yes,record_audit_event,no,pages/interference/,test_soft_delete.py,soft_delete
interference,/api/interference/export/,GET,ExportView,@auth,interference.view,apply_tenant_filter,no,no,no,no,pages/interference/,test_export.py,
logs,/api/logs/audit/,GET,AuditLogView,AdminView+PERM_MAP,system.audit.view,N/A,yes,no,no,no,pages/maintenance/AuditLog.js,test_audit.py,
logs,/api/logs/export/,GET,ExportView,AdminView+PERM_MAP,system.audit.view,N/A,no,no,no,no,pages/maintenance/AuditLog.js,test_export.py,
logs,/api/logs/sequence/,GET,AuditLogSequenceView,AdminView+PERM_MAP,system.audit.view,N/A,no,no,no,no,(内部使用),test_sequence.py,哈希链
radio_license,/api/radio-license/,GET,RadioLicenseView,@auth,radio_license.license.view,apply_tenant_filter,yes,no,no,check_recent_duplicate,pages/radioLicense/,test_crud.py,
radio_license,/api/radio-license/,POST,RadioLicenseView,@auth,radio_license.license.add,apply_tenant_filter,no,yes,record_audit_event,check_recent_duplicate,pages/radioLicense/,test_crud.py,
radio_license,/api/radio-license/<id>/,GET,RadioLicenseView,@auth,radio_license.license.view,apply_tenant_filter,no,no,no,no,pages/radioLicense/,test_crud.py,
radio_license,/api/radio-license/<id>/,PATCH,RadioLicenseView,@auth,radio_license.license.edit,apply_tenant_filter,no,yes,record_audit_event,no,pages/radioLicense/,test_crud.py,
radio_license,/api/radio-license/<id>/,DELETE,RadioLicenseView,@auth,radio_license.license.del,apply_tenant_filter,no,yes,record_audit_event,no,pages/radioLicense/,test_soft_delete.py,soft_delete
radio_license,/api/radio-license/export/,GET,ExportView,@auth,radio_license.license.view,apply_tenant_filter,no,no,no,no,pages/radioLicense/,test_export.py,
radio_license,/api/radio-license/approval/,GET,StationFrequencyApprovalView,@auth,radio_license.approval.view,apply_tenant_filter,yes,no,no,check_recent_duplicate,pages/stationFrequencyApproval/,test_approval_crud.py,28/28PASS
radio_license,/api/radio-license/approval/,POST,StationFrequencyApprovalView,@auth,radio_license.approval.add,apply_tenant_filter,no,yes,record_audit_event,check_recent_duplicate,pages/stationFrequencyApproval/,test_approval_crud.py,P0已修复
radio_license,/api/radio-license/approval/<id>/,GET,StationFrequencyApprovalView,@auth,radio_license.approval.view,apply_tenant_filter,no,no,no,no,pages/stationFrequencyApproval/,test_approval_crud.py,
radio_license,/api/radio-license/approval/<id>/,PATCH,StationFrequencyApprovalView,@auth,radio_license.approval.edit,apply_tenant_filter,no,yes,record_audit_event,no,pages/stationFrequencyApproval/,test_approval_crud.py,
radio_license,/api/radio-license/approval/<id>/,DELETE,StationFrequencyApprovalView,@auth,radio_license.approval.del,apply_tenant_filter,no,yes,record_audit_event,no,pages/stationFrequencyApproval/,test_approval_soft_delete.py,P1已修复
radio_license,/api/radio-license/approval/export/,GET,ExportView,@auth,radio_license.approval.view,apply_tenant_filter,no,no,no,no,pages/stationFrequencyApproval/,test_approval_export.py,
regulation,/api/regulation/,GET,RegulationView,@auth,document.regulation.view,apply_tenant_filter,yes,no,no,check_recent_duplicate,pages/regulation/,test_crud.py,
regulation,/api/regulation/,POST,RegulationView,@auth,document.regulation.add,apply_tenant_filter,no,yes,record_audit_event,check_recent_duplicate,pages/regulation/,test_crud.py,独立storage.py
regulation,/api/regulation/<id>/,GET,RegulationView,@auth,document.regulation.view,apply_tenant_filter,no,no,no,no,pages/regulation/,test_crud.py,
regulation,/api/regulation/<id>/,PATCH,RegulationView,@auth,document.regulation.edit,apply_tenant_filter,no,yes,record_audit_event,no,pages/regulation/,test_crud.py,
regulation,/api/regulation/<id>/,DELETE,RegulationView,@auth,document.regulation.del,apply_tenant_filter,no,yes,record_audit_event,no,pages/regulation/,test_soft_delete.py,soft_delete
regulation,/api/regulation/export/,GET,ExportView,@auth,document.regulation.view,apply_tenant_filter,no,no,no,no,pages/regulation/,test_export.py,
reminder,/api/reminder/,GET,ReminderView,_can_manage,home.reminder.view,apply_tenant_filter,yes,no,no,no,pages/reminder/,test_reminder.py,
reminder,/api/reminder/,POST,ReminderView,_can_manage,home.reminder.add,apply_tenant_filter,no,no,record_audit_event,no,pages/reminder/,test_reminder.py,
reminder,/api/reminder/<id>/,PATCH,ReminderView,_can_manage,home.reminder.edit,apply_tenant_filter,no,no,record_audit_event,no,pages/reminder/,test_reminder.py,
reminder,/api/reminder/<id>/,DELETE,ReminderView,_can_manage,home.reminder.del,apply_tenant_filter,no,no,record_audit_event,no,pages/reminder/,test_reminder.py,soft_delete
runlog,/api/runlog/,GET,RunLogView,@auth,runlog.runlog.view,apply_tenant_filter,yes,no,no,no,pages/runlog/,test_runlog.py,
runlog,/api/runlog/,POST,RunLogView,@auth,runlog.runlog.add,apply_tenant_filter,no,no,record_audit_event,no,pages/runlog/,test_runlog.py,
runlog,/api/runlog/<id>/,GET,RunLogView,@auth,runlog.runlog.view,apply_tenant_filter,no,no,no,no,pages/runlog/,test_runlog.py,
runlog,/api/runlog/<id>/,PATCH,RunLogView,@auth,runlog.runlog.edit,apply_tenant_filter,no,no,record_audit_event,no,pages/runlog/,test_runlog.py,
runlog,/api/runlog/<id>/,DELETE,RunLogView,@auth,runlog.runlog.del,apply_tenant_filter,no,no,record_audit_event,no,pages/runlog/,test_runlog.py,soft_delete
setting,/api/setting/,GET,AppSettingView,AdminView+PERM_MAP,system.setting.view,N/A,no,no,no,no,pages/system/Setting.js,test_setting.py,GLOBAL
setting,/api/setting/,PATCH,AppSettingView,AdminView+PERM_MAP,system.setting.edit,N/A,no,no,record_audit_event,no,pages/system/Setting.js,test_setting.py,
signature,/api/signature/,GET,SignatureView,SupperOnlyView,N/A,N/A,yes,no,no,no,(内嵌),test_signature.py,超管限制
signature,/api/signature/,POST,SignatureView,SupperOnlyView,N/A,N/A,no,no,record_audit_event,no,(内嵌),test_signature.py,
signature,/api/signature/apply/,POST,SignatureApplyView,SupperOnlyView,N/A,N/A,no,no,apply_signature,no,(内嵌),test_signature.py,事务锁+SHA256
upgrade,/api/upgrade/records/,GET,RecordListView,@auth,upgrade.upgrade.view,apply_tenant_filter,yes,no,no,no,pages/upgrade/,test_crud.py,手动分页
upgrade,/api/upgrade/records/,POST,RecordCreateView,@auth,upgrade.upgrade.add,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_crud.py,
upgrade,/api/upgrade/records/<id>/,GET,RecordDetailView,@auth,upgrade.upgrade.view,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_crud.py,
upgrade,/api/upgrade/records/<id>/,PUT,RecordUpdateView,@auth,upgrade.upgrade.edit,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_crud.py,
upgrade,/api/upgrade/records/<id>/,DELETE,RecordDeleteView,@auth,upgrade.upgrade.del,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_crud.py,soft_delete
upgrade,/api/upgrade/systems/,GET,SystemListView,@auth,upgrade.upgrade.view,apply_tenant_filter,yes,no,no,no,pages/upgrade/,test_template.py,
upgrade,/api/upgrade/systems/,POST,SystemCreateView,@auth,upgrade.upgrade.add,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_template.py,
upgrade,/api/upgrade/systems/<id>/,PUT,SystemUpdateView,@auth,upgrade.upgrade.edit,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_template.py,
