module,model,db_table,tenant_field,pk_type,business_unique_key,foreign_keys,logical_int_refs,soft_delete_fields,status_fields,check_constraints,unique_constraints,indexes,audit_fields,delete_protection,migrations_dir,known_consumers,risk_notes
account,User,accounts_user,tenant_id(CharField),AutoField,username,created_by(FK self),dept_id,is_deleted+deleted_at,is_active,,,,created_at+created_by+updated_at+updated_by,soft_delete,apps/account/migrations/,全系统引用,逻辑删除无唯一约束冲突处理
account,Role,accounts_role,tenant_id,AutoField,name,created_by(FK User),,is_deleted+deleted_at,,,,,created_at+created_by+updated_at,soft_delete,apps/account/migrations/,account/RolePolicy,权限缓存在Redis perms_{id}
account,RolePolicy,accounts_role_policy,tenant_id,AutoField,"role_id+perm_code",role_id(FK Role),,,,unique_together(role_id,perm_code),,created_at,,apps/account/migrations/,account/Role,权限编码无DB级CHECK约束
account,Department,accounts_department,tenant_id,AutoField,name,parent_id(FK self),,is_deleted+deleted_at,,,,,created_at+created_by+updated_at,soft_delete,apps/account/migrations/,account/User,层级删除无级联策略
account,Tenant,accounts_tenant,无(GLOBAL),AutoField,name,,,,,,,is_active?,,,,created_at,,apps/account/migrations/,全系统(GLOBAL租户),无租户字段
account,LoginLog,accounts_login_log,tenant_id,AutoField,无,user_id(FK User),,,,,,,created_at,,apps/account/migrations/,account/User,无索引可能影响查询性能
alert,AlertRule,alert_alertrule,无(GLOBAL),AutoField,name,,,,,,,unique_together(name),,created_at+created_by+updated_at,hard_delete,apps/alert/migrations/,alert/AlertRecord,GLOBAL租户无租户隔离
alert,AlertRecord,alert_alertrecord,无(GLOBAL),AutoField,无,rule_id(FK AlertRule),,,,无,,,created_at,,apps/alert/migrations/,alert/dashboard,无唯一约束可能重复记录
contract_agreement,ContractAgreement,contract_agreement_contractagreement,tenant_id,AutoField,"tenant_id+number",created_by(FK User),,is_deleted+deleted_at,status,无,unique_together(tenant_id,number),,created_at+created_by+updated_at+updated_by+deleted_by,soft_delete,apps/contract_agreement/migrations/,interference/evidence,deleted_by可能为null
data_analysis,(无模型),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,纯只读聚合跨app查询
