permission_code,backend_usage,frontend_route_usage,frontend_button_usage,role_code_definition,module,consistency_status,notes
system.account.view,AdminView+PERM_MAP,routes.js auth,pages/system/User.js,Role权限管理页面,account,一致,
system.account.add,AdminView+PERM_MAP,routes.js auth,pages/system/User.js 新增按钮,Role权限管理页面,account,一致,
system.account.edit,AdminView+PERM_MAP,routes.js auth,pages/system/User.js 编辑按钮,Role权限管理页面,account,一致,
system.account.del,AdminView+PERM_MAP,routes.js auth,pages/system/User.js 删除按钮,Role权限管理页面,account,一致,
system.role.view,AdminView+PERM_MAP,routes.js auth,pages/system/Role.js,Role权限管理页面,account,一致,
system.role.add,AdminView+PERM_MAP,routes.js auth,pages/system/Role.js 新增按钮,Role权限管理页面,account,一致,
system.role.edit,AdminView+PERM_MAP,routes.js auth,pages/system/Role.js 编辑按钮,Role权限管理页面,account,一致,
system.role.del,AdminView+PERM_MAP,routes.js auth,pages/system/Role.js 删除按钮,Role权限管理页面,account,一致,
system.dept.view,AdminView+PERM_MAP,routes.js auth,pages/system/Dept.js,Role权限管理页面,account,一致,
system.dept.add,AdminView+PERM_MAP,routes.js auth,pages/system/Dept.js 新增按钮,Role权限管理页面,account,一致,
system.dept.edit,AdminView+PERM_MAP,routes.js auth,pages/system/Dept.js 编辑按钮,Role权限管理页面,account,一致,
system.dept.del,AdminView+PERM_MAP,routes.js auth,pages/system/Dept.js 删除按钮,Role权限管理页面,account,一致,
system.tenant.view,AdminView+PERM_MAP,routes.js auth,pages/system/Tenant.js,Role权限管理页面,account,一致,
system.tenant.add,AdminView+PERM_MAP,routes.js auth,pages/system/Tenant.js 新增按钮,Role权限管理页面,account,一致,
system.tenant.edit,AdminView+PERM_MAP,routes.js auth,pages/system/Tenant.js 编辑按钮,Role权限管理页面,account,一致,
system.tenant.del,AdminView+PERM_MAP,routes.js auth,pages/system/Tenant.js 删除按钮,Role权限管理页面,account,一致,
system.login.view,AdminView+PERM_MAP,routes.js auth,pages/system/LoginLog.js,Role权限管理页面,account,一致,
system.alert.view,AdminView+PERM_MAP,routes.js auth,pages/maintenance/,Role权限管理页面,alert,一致,GLOBAL租户
system.alert.add,AdminView+PERM_MAP,routes.js auth,pages/maintenance/ 新增按钮,Role权限管理页面,alert,一致,
system.alert.edit,AdminView+PERM_MAP,routes.js auth,pages/maintenance/ 编辑按钮,Role权限管理页面,alert,一致,
system.alert.del,AdminView+PERM_MAP,routes.js auth,pages/maintenance/ 删除按钮,Role权限管理页面,alert,一致,硬删除
system.audit.view,AdminView+PERM_MAP,routes.js auth,pages/maintenance/AuditLog.js,Role权限管理页面,logs,一致,
system.setting.view,AdminView+PERM_MAP,routes.js auth,pages/system/Setting.js,Role权限管理页面,setting,一致,GLOBAL
system.setting.edit,AdminView+PERM_MAP,routes.js auth,pages/system/Setting.js,Role权限管理页面,setting,一致,
contract_agreement.agreement.view,@auth装饰器,routes.js auth,pages/contractAgreement/,Role权限管理页面,contract_agreement,一致,
contract_agreement.agreement.add,@auth装饰器,routes.js auth,pages/contractAgreement/ 新增按钮,Role权限管理页面,contract_agreement,一致,
contract_agreement.agreement.edit,@auth装饰器,routes.js auth,pages/contractAgreement/ 编辑按钮,Role权限管理页面,contract_agreement,一致,
contract_agreement.agreement.del,@auth装饰器,routes.js auth,pages/contractAgreement/ 删除按钮,Role权限管理页面,contract_agreement,一致,soft_delete
data_analysis.overview.view,@auth装饰器,routes.js auth,pages/dataAnalysis/,Role权限管理页面,data_analysis,一致,
data_analysis.fault.view,@auth装饰器,routes.js auth,pages/dataAnalysis/,Role权限管理页面,data_analysis,一致,
data_analysis.interference.view,@auth装饰器,routes.js auth,pages/dataAnalysis/,Role权限管理页面,data_analysis,一致,
data_analysis.license.view,@auth装饰器,routes.js auth,pages/dataAnalysis/,Role权限管理页面,data_analysis,一致,
data_analysis.contract.view,@auth装饰器,routes.js auth,pages/dataAnalysis/,Role权限管理页面,data_analysis,一致,
department_duty_log.view,@auth装饰器,routes.js auth,pages/departmentDutyLog/,Role权限管理页面,department_duty_log,一致,
department_duty_log.add,@auth装饰器,routes.js auth,pages/departmentDutyLog/ 新增按钮,Role权限管理页面,department_duty_log,一致,
department_duty_log.edit,@auth装饰器,routes.js auth,pages/departmentDutyLog/ 编辑按钮,Role权限管理页面,department_duty_log,一致,
department_duty_log.del,@auth装饰器,routes.js auth,pages/departmentDutyLog/ 删除按钮,Role权限管理页面,department_duty_log,一致,soft_delete
department_duty_log.sign,@auth装饰器,routes.js auth,pages/departmentDutyLog/ 签署按钮,Role权限管理页面,department_duty_log,一致,
device.device_resume.view,@auth装饰器,routes.js auth,pages/device/,Role权限管理页面,device,一致,
device.device_resume.add,@auth装饰器,routes.js auth,pages/device/ 新增按钮,Role权限管理页面,device,一致,
device.device_resume.edit,@auth装饰器,routes.js auth,pages/device/ 编辑按钮,Role权限管理页面,device,一致,
device.device_resume.del,@auth装饰器,routes.js auth,pages/device/ 删除按钮,Role权限管理页面,device,一致,soft_delete
device.device_history.view,@auth装饰器,routes.js auth,pages/device/,Role权限管理页面,device,一致,
device.device_history.add,@auth装饰器,routes.js auth,pages/device/ 新增按钮,Role权限管理页面,device,一致,
