table_name,index_name,columns,seq_in_index,non_unique,index_type,is_duplicate,duplicate_of,risk_level,notes
navigations,PRIMARY,id,1,0,BTREE,No,-,Low,
navigations,navigation_tenant_id_idx,tenant_id,1,1,BTREE,No,-,Low,自定义索引
notices,PRIMARY,id,1,0,BTREE,No,-,Low,
notices,notice_tenant_id_idx,tenant_id,1,1,BTREE,No,-,Low,自定义索引
tdyw_announcements,PRIMARY,id,1,0,BTREE,No,-,Low,
tdyw_announcement_reads,PRIMARY,id,1,0,BTREE,No,-,Low,
tdyw_announcement_reads,ann_read_notice_idx,"(announcement_id,user_id)",1,1,BTREE,Yes,ann_read_user_idx,Low,重复索引
tdyw_announcement_reads,ann_read_user_idx,"(user_id,announcement_id)",1,1,BTREE,Yes,ann_read_notice_idx,Low,重复索引
tdyw_document_transfer,PRIMARY,id,1,0,BTREE,No,-,Low,
tdyw_document_transfer,idx_transfer_created,created_at,1,1,BTREE,Yes,auto_idx,Low,重复索引
tdyw_evidence_attachments,PRIMARY,id,1,0,BTREE,No,-,Low,
tdyw_evidence_attachments,ev_att_sha256_idx,file_hash_sha256,1,0,BTREE,Yes,auto_idx,Low,重复索引(UNIQUE)
tdyw_evidence_events,PRIMARY,id,1,0,BTREE,No,-,Low,
tdyw_evidence_events,ev_event_hash_idx,event_hash,1,0,BTREE,Yes,auto_idx,Low,重复索引(UNIQUE)
tdyw_regulation,PRIMARY,id,1,0,BTREE,No,-,Low,
tdyw_regulation,reg_biz_type_idx,biz_type,1,1,BTREE,Yes,auto_idx,Low,重复索引
tdyw_regulation,reg_issuing_authority_idx,issuing_authority,1,1,BTREE,Yes,auto_idx,Low,重复索引
tdyw_regulation,reg_rule_no_idx,rule_no,1,1,BTREE,Yes,auto_idx,Low,重复索引
tdyw_regulation,reg_status_idx,status,1,1,BTREE,Yes,auto_idx,Low,重复索引
tdyw_upgrade_templates,PRIMARY,id,1,0,BTREE,No,-,Low,
tdyw_upgrade_templates,upg_tpl_tenant_idx,tenant_id,1,1,BTREE,Yes,auto_idx,Low,重复索引
navigations,-,tenant_id,-,-,-,Missing,-,High,缺少tenant_id索引
notices,-,tenant_id,-,-,-,Missing,-,High,缺少tenant_id索引
tdyw_announcements,-,tenant_id,-,-,-,Missing,-,High,缺少tenant_id索引
tdyw_announcement_reads,-,tenant_id,-,-,-,Missing,-,High,缺少tenant_id索引
tdyw_duty_records,-,tenant_id,-,-,-,Missing,-,High,缺少tenant_id索引
tdyw_reminders,-,tenant_id,-,-,-,Missing,-,High,缺少tenant_id索引
navigations,-,is_deleted,-,-,-,Missing,-,Medium,缺少is_deleted索引
notices,-,is_deleted,-,-,-,Missing,-,Medium,缺少is_deleted索引
tdyw_device_event,-,is_deleted,-,-,-,Missing,-,Medium,缺少is_deleted索引
tdyw_device_resume,-,is_deleted,-,-,-,Missing,-,Medium,缺少is_deleted索引
tdyw_interferences,-,is_deleted,-,-,-,Missing,-,Medium,缺少is_deleted索引
tdyw_run_logs,-,is_deleted,-,-,-,Missing,-,Medium,缺少is_deleted索引
tdyw_upgrade_records,-,is_deleted,-,-,-,Missing,-,Medium,缺少is_deleted索引
tdyw_upgrade_record_steps,-,is_deleted,-,-,-,Missing,-,Medium,缺少is_deleted索引
tdyw_upgrade_systems,-,is_deleted,-,-,-,Missing,-,Medium,缺少is_deleted索引
