table_name,model_class,app,has_tenant_id,has_is_deleted,tenant_id_nullable,is_deleted_type,manager_type,notes
account_history,History,account,Yes,Yes,No,BooleanField,TenantModelManager,
alerts,Alert,alert,No,No,-,-,ModelManager,全局数据
alert_reads,AlertRead,alert,No,No,-,-,ModelManager,全局数据
audit_logs,AuditLog,logs,Yes,No,-,-,TenantModelManager,
navigations,Navigation,home,Yes,Yes,No,BooleanField,TenantModelManager,
notices,Notice,home,Yes,Yes,No,BooleanField,TenantModelManager,
roles,Role,account,Yes,No,No,-,ModelManager,tenant_id用空字符串表示平台级
settings,AppSetting,setting,No,No,-,-,ModelManager,全局数据
tdyw_account_signatures,AccountSignature,signature,Yes,No,-,-,TenantModelManager,
tdyw_announcements,Announcement,home,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_announcement_reads,AnnouncementRead,home,Yes,No,-,-,TenantModelManager,
tdyw_announcement_scopes,AnnouncementScope,home,Yes,No,-,-,TenantModelManager,
tdyw_contract_agreement,ContractAgreement,contract_agreement,Yes,No,-,-,TenantModelManager,
tdyw_contract_agreement_reminder_ack,ContractAgreementReminderAck,contract_agreement,Yes,No,-,-,TenantModelManager,
tdyw_department_duty_log,DepartmentDutyLog,department_duty_log,No,No,-,-,ModelManager,全局共享(设计决策)
tdyw_device_event,DeviceHistory,device,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_device_resume,DeviceResume,device,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_document_file_private,DocumentFilePrivate,document,Yes,No,-,-,TenantModelManager,
tdyw_document_file_public,DocumentFilePublic,document,No,No,-,-,ModelManager,公共空间
tdyw_document_folder_private,DocumentFolderPrivate,document,Yes,No,-,-,TenantModelManager,
tdyw_document_folder_public,DocumentFolderPublic,document,No,No,-,-,ModelManager,公共空间
tdyw_document_system_folder,DocumentSystemFolder,document,No,No,-,-,ModelManager,全局系统文件夹
tdyw_document_transfer,DocumentTransfer,document,Yes,No,-,-,TenantModelManager,
tdyw_duty_records,DutyRecord,duty,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_evidence_attachments,EvidenceAttachment,evidence,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_evidence_events,EvidenceEvent,evidence,Yes,No,-,-,TenantModelManager,
tdyw_fault_parts,FaultPart,fault,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_fault_records,FaultRecord,fault,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_interferences,InterferenceRecord,interference,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_radio_license,RadioLicense,radio_license,Yes,No,-,-,TenantModelManager,
tdyw_radio_license_frequency,RadioLicenseFrequency,radio_license,Yes,No,-,-,TenantModelManager,
tdyw_radio_license_reminder_ack,RadioLicenseReminderAck,radio_license,Yes,No,-,-,TenantModelManager,
tdyw_radio_license_version,RadioLicenseVersion,radio_license,Yes,No,-,-,TenantModelManager,
tdyw_regulation,Regulation,regulation,No,Yes,-,BooleanField,ModelManager,全局数据(设计决策)
tdyw_regulation_attachment,RegulationAttachment,regulation,No,Yes,-,BooleanField,ModelManager,全局数据
tdyw_regulation_category,RegulationCategory,regulation,No,No,-,-,ModelManager,全局数据
tdyw_reminders,Reminder,reminder,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_reminder_logs,ReminderLog,reminder,No,No,-,-,ModelManager,间接隔离(通过FK->Reminder->tenant_id)
tdyw_run_logs,RunLog,runlog,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_run_log_event_types,EventTypeConfig,runlog,No,No,-,-,ModelManager,全局配置
tdyw_run_log_updates,RunLogUpdate,runlog,Yes,No,-,-,TenantModelManager,
tdyw_signature_usages,SignatureUsage,signature,Yes,No,-,-,TenantModelManager,
tdyw_station_frequency_approval,StationFrequencyApproval,radio_license,Yes,No,-,-,TenantModelManager,
tdyw_station_frequency_approval_reminder_ack,StationFrequencyApprovalReminderAck,radio_license,Yes,No,-,-,TenantModelManager,
tdyw_upgrade_plan_steps,UpgradePlanStep,upgrade,Yes,No,-,-,TenantModelManager,
tdyw_upgrade_records,UpgradeRecord,upgrade,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_upgrade_record_steps,UpgradeRecordStep,upgrade,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_upgrade_status_logs,UpgradeStatusLog,upgrade,Yes,No,-,-,TenantModelManager,
tdyw_upgrade_systems,UpgradeSystem,upgrade,Yes,Yes,No,BooleanField,TenantModelManager,
tdyw_upgrade_templates,UpgradeTemplate,upgrade,Yes,No,-,-,TenantModelManager,
user_role_rel,-,account,No,No,-,-,-,M2M映射表
user_settings,UserSetting,setting,No,No,-,-,ModelManager,全局数据
users,User,account,Yes,Yes(deleted_at),No,DateTimeField,TenantModelManager,deleted_at而非is_deleted
