run_id,module,method,endpoint,scenario,requests,failures,error_rate,rps,avg_ms,p50_ms,p95_ms,p99_ms,max_ms,notes
probe_1786193864,home_statistic,GET,home_statistic,single_probe,5,0,0.0,0,21.42,26.81,28.52,28.52,28.52,cold+hot
probe_1786193864,navigation,GET,navigation,single_probe,5,0,0.0,0,16.09,13.28,21.72,21.72,21.72,cold+hot
probe_1786193864,notices,GET,notices,single_probe,5,0,0.0,0,14.88,12.4,24.03,24.03,24.03,cold+hot
probe_1786193864,data_analysis,GET,data_analysis,single_probe,5,0,0.0,0,14.95,12.89,24.21,24.21,24.21,cold+hot
probe_1786193864,dept_duty_logs,GET,dept_duty_logs,single_probe,5,0,0.0,0,15.18,15.0,16.72,16.72,16.72,cold+hot
probe_1786193864,duty_records,GET,duty_records,single_probe,5,0,0.0,0,18.44,16.51,24.43,24.43,24.43,cold+hot
probe_1786193864,runlogs,GET,runlogs,single_probe,5,0,0.0,0,20.24,20.93,26.98,26.98,26.98,cold+hot
probe_1786193864,reminders,GET,reminders,single_probe,5,0,0.0,0,12.41,10.84,19.15,19.15,19.15,cold+hot
probe_1786193864,radio_licenses,GET,radio_licenses,single_probe,5,0,0.0,0,17.46,17.18,18.19,18.19,18.19,cold+hot
probe_1786193864,station_approvals,GET,station_approvals,single_probe,5,0,0.0,0,16.46,14.54,24.26,24.26,24.26,cold+hot
probe_1786193864,contracts,GET,contracts,single_probe,5,0,0.0,0,17.97,16.0,25.52,25.52,25.52,cold+hot
probe_1786193864,doc_folders,GET,doc_folders,single_probe,5,0,0.0,0,17.95,15.69,26.34,26.34,26.34,cold+hot
probe_1786193864,doc_files,GET,doc_files,single_probe,5,5,100.0,0,11.99,9.87,21.12,21.12,21.12,cold+hot
probe_1786193864,regulations,GET,regulations,single_probe,5,0,0.0,0,16.57,16.56,16.7,16.7,16.7,cold+hot
probe_1786193864,devices,GET,devices,single_probe,5,0,0.0,0,17.16,15.21,23.35,23.35,23.35,cold+hot
probe_1786193864,faults,GET,faults,single_probe,5,5,100.0,0,17.22,13.69,31.7,31.7,31.7,cold+hot
probe_1786193864,upgrade_records,GET,upgrade_records,single_probe,5,0,0.0,0,17.7,14.72,29.93,29.93,29.93,cold+hot
probe_1786193864,upgrade_stats,GET,upgrade_stats,single_probe,5,0,0.0,0,16.1,16.08,16.72,16.72,16.72,cold+hot
probe_1786193864,interferences,GET,interferences,single_probe,5,0,0.0,0,21.68,17.67,33.32,33.32,33.32,cold+hot
probe_1786193864,alerts,GET,alerts,single_probe,5,0,0.0,0,235.85,16.39,1106.51,1106.51,1106.51,cold+hot
probe_1786193864,account_users,GET,account_users,single_probe,5,0,0.0,0,61.23,56.88,75.67,75.67,75.67,cold+hot
probe_1786193864,account_roles,GET,account_roles,single_probe,5,0,0.0,0,16.06,13.17,27.37,27.37,27.37,cold+hot
probe_1786193864,account_tenants,GET,account_tenants,single_probe,5,0,0.0,0,10.81,10.25,13.77,13.77,13.77,cold+hot
probe_1786193864,audit_logs,GET,audit_logs,single_probe,5,0,0.0,0,12.77,12.59,13.57,13.57,13.57,cold+hot
probe_1786193864,system_settings,GET,system_settings,single_probe,5,0,0.0,0,10.55,10.07,13.02,13.02,13.02,cold+hot
