module,model,field,current_values,possible_meaning,evidence,needs_business_confirmation,migration_risk
device,DeviceResume,current_status,1/2/3/4/5,设备状态:正常/故障/维修中/停用/报废,代码choices定义,N,低
device,DeviceResume,responsible_user_name,文本人名,负责人:可能是用户名或真实姓名,字段类型CharField,Y,低
device,DeviceEvent,event_type,1/2/3,事件类型:重大故障维修/设备更新/设备检修,代码choices定义,N,低
device,DeviceEvent,device_resume_id,整数,设备ID:指向DeviceResume.id但非外键,IntegerField类型,Y,高
fault,FaultRecord,system_name,文本,系统名称:无系统表关联,文本字段无验证,Y,高
fault,FaultRecord,device_code,文本,设备编号:无设备表关联,文本字段无验证,Y,高
fault,FaultRecord,fault_level,文本,故障评级:无标准化枚举,代码中为自由文本,Y,中
fault,FaultPart,system_name,文本,系统名称:与FaultRecord.system_name独立,无关联约束,Y,中
fault,FaultPart,name,文本,部件名称:无部件实例表,无标准化定义,Y,中
upgrade,UpgradeRecord,system,文本,系统名称:不关联UpgradeSystem,文本字段无验证,Y,高
upgrade,UpgradeRecord,status,文本,升级状态:无标准化枚举,代码中为自由文本,Y,低
upgrade,UpgradeRecord,owner,文本,负责人:无用户表关联,文本字段无验证,Y,低
upgrade,UpgradeSystem,name,文本,系统名称:租户内唯一,unique约束,Y,中
interference,Interference,status,draft/submitted/reviewed/reported/handled/closed/voided,干扰状态流,代码choices定义,N,低
interference,Interference,frequency,文本,频率值:可能含单位,自由文本,Y,低
interference,Interference,report_dept,文本,报告部门:无部门表关联,文本字段无验证,Y,低
alert,Alert,level,error/warning/info,告警级别,代码choices定义,N,低
alert,Alert,status,active/resolved,告警状态,代码choices定义,N,低
alert,Alert,alert_key,文本,告警去重键:用于幂等检测,无标准化定义,Y,低
