source_module,source_model,source_field,target_concept,relationship_method,text_or_fk,on_rename_behavior,on_delete_behavior,migration_risk,notes
device,DeviceEvent,device_resume_id,DeviceResume,IntegerField引用,text,不更新,不级联,高,需改为外键并数据清洗
device,DeviceEvent,device_name,DeviceResume.device_name,冗余文本,text,不更新,不级联,高,与device_resume_id可能不一致
device,DeviceEvent,device_sn,DeviceResume.device_sn,冗余文本,text,不更新,不级联,高,与device_resume_id可能不一致
device,DeviceResume,responsible_user_name,User,文本字段,text,不更新,不级联,低,可改为外键但影响小
fault,FaultRecord,system_name,System,文本字段,text,不更新,不级联,高,无法自动关联系统
fault,FaultRecord,device_code,DeviceResume,文本字段,text,不更新,不级联,高,无法自动关联设备
fault,FaultRecord,handler,User,文本字段,text,不更新,不级联,低,可改为外键但影响小
fault,FaultRecord,recorder,User,文本字段,text,不更新,不级联,低,可改为外键但影响小
fault,FaultPart,system_name,System,文本字段,text,不更新,不级联,中,与FaultRecord.system_name不关联
fault,FaultPart,name,PartInstance,文本字段,text,不更新,不级联,中,无部件实例表
upgrade,UpgradeRecord,system,UpgradeSystem,文本字段,text,不更新,不级联,高,不关联UpgradeSystem
upgrade,UpgradeRecord,owner,User,文本字段,text,不更新,不级联,低,可改为外键但影响小
upgrade,UpgradeRecordStep,upgrade_id,UpgradeRecord,IntegerField引用,text,不更新,不级联,中,需改为外键
upgrade,UpgradeStatusLog,upgrade_id,UpgradeRecord,IntegerField引用,text,不更新,不级联,中,需改为外键
interference,Interference,frequency,FrequencyBand,文本字段,text,不更新,不级联,低,可改为数值字段
interference,Interference,report_dept,Department,文本字段,text,不更新,不级联,低,可改为外键
alert,AlertRead,user_id,User,IntegerField引用,text,不更新,不级联,低,需改为外键
alert,Alert,resolved_by,User,真实外键,fk,不更新,PROTECT,低,已经是外键
