test_id,finding_id,test_description,result,evidence
NAV-01,TI-001,NavView 路由不可达 (404),PASS,"status=404(应为404)"
NAV-02,TI-001,Navigation 模型已从 models.py 移除,PASS,"Navigation 模型已移除"
NAV-03,TI-001,navigation.py 模块已删除,PASS,"apps.home.navigation 模块已删除"
NAV-04,TI-001,urls.py 中无 navigation 路由,PASS,"urls.py 中 navigation 路由:已移除"
NOTICE-01,TI-002,NoticeView 路由不可达,PASS,"status=404(应为404)"
NOTICE-02,TI-002,Notice 模型已从 models.py 移除,PASS,"Notice 模型已移除"
NOTICE-03,TI-002,notice.py 模块已删除,PASS,"apps.home.notice 模块已删除"
NOTICE-04,TI-002,Announcement 模型替代 Notice,PASS,"Announcement 模型存在"
REMUSERS-01,TI-003,本租户用户列表访问成功,PASS,"看到自己:True,共1用户"
REMUSERS-02,TI-003,列表不包含其他租户用户,PASS,"看到B租户用户:False,共1用户"
REMUSERS-03,TI-003,响应不包含其他租户用户 username,PASS,"泄露B用户名:False"
REMUSERS-04,TI-003,响应不包含其他租户用户 nickname,PASS,"泄露B昵称:False"
REMUSERS-05,TI-003,响应不包含 tenant_id 字段,PASS,"响应含tenant_id字段:False"
REMUSERS-06,TI-003,超级管理员可看到所有租户用户,PASS,"超管看到A:True,B:True,共46用户"
REMUSERS-07,TI-003,无权限用户不能绕过权限,PASS,"无权限访问被拒:True"
REM-01,TI-003,本租户 Reminder 列表访问成功,PASS,"看到本租户数据:True,共1条"
REM-02,TI-003,Reminder 列表不包含其他租户数据,PASS,"看到B租户数据:False"
REM-03,TI-003,跨租户更新 Reminder 失败,PASS,"name=RB_...(未变)"
REM-04,TI-003,跨租户删除 Reminder 失败,PASS,"记录仍存在:True, resp={'error': '提醒规则不存在'}"
REM-05,TI-003,创建 Reminder 时不能伪造 tenant_id,PASS,"tenant_id=wp5_a_...(正确绑定当前租户)"
